"zip","type","decommissioned","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","world_region","country","latitude","longitude","irs_estimated_population"
37304,"STANDARD",0,"Bakewell","Sale Creek","","TN","Hamilton County","America/New_York","423",NA,"US",35.39,-85.11,0
37305,"STANDARD",0,"Beersheba Springs","Beershba Spgs","","TN","Grundy County","America/Chicago","931",NA,"US",35.45,-85.67,570
37306,"STANDARD",0,"Belvidere","","","TN","Franklin County","America/Chicago","256, 931, 938",NA,"US",35.12,-86.18,2400
37307,"STANDARD",0,"Benton","","","TN","Polk County","America/New_York","423",NA,"US",35.17,-84.65,4340
37308,"STANDARD",0,"Birchwood","","","TN","Hamilton County","America/New_York","423",NA,"US",35.36,-84.99,2640
37309,"STANDARD",0,"Calhoun","","","TN","McMinn County","America/New_York","423",NA,"US",35.29,-84.74,1950
37310,"STANDARD",0,"Charleston","","","TN","Bradley County","America/New_York","423",NA,"US",35.28,-84.76,4040
37311,"STANDARD",0,"Cleveland","","Cleveld","TN","Bradley County","America/New_York","423, 706, 762",NA,"US",35.17,-84.86,21840
37312,"STANDARD",0,"Cleveland","","Cleveld","TN","Bradley County","America/New_York","423",NA,"US",35.23,-84.88,32870
37313,"STANDARD",0,"Coalmont","","","TN","Grundy County","America/Chicago","931",NA,"US",35.38,-85.7,1100
37314,"PO BOX",0,"Coker Creek","","","TN","Monroe County","America/New_York","423",NA,"US",35.26,-84.3,70
37315,"PO BOX",0,"Collegedale","","","TN","Hamilton County","America/New_York","423",NA,"US",35.05,-85.05,2155
37316,"PO BOX",0,"Conasauga","","","TN","Polk County","America/New_York","423",NA,"US",35,-84.73,55
37317,"STANDARD",0,"Copperhill","Postelle","","TN","Polk County","America/New_York","423, 706, 762, 828",NA,"US",34.99,-84.37,2050
37318,"STANDARD",0,"Cowan","","","TN","Franklin County","America/Chicago","931",NA,"US",35.16,-86.01,1650
37320,"PO BOX",0,"Cleveland","","Cleveld","TN","Bradley County","America/New_York","423",NA,"US",35.17,-84.86,2252
37321,"STANDARD",0,"Dayton","","","TN","Rhea County","America/New_York","423",NA,"US",35.49,-85.01,16840
37322,"STANDARD",0,"Decatur","","","TN","Meigs County","America/New_York","423",NA,"US",35.52,-84.79,7550
37323,"STANDARD",0,"Cleveland","","Cleveld, Clevelnd","TN","Bradley County","America/New_York","423, 706, 762",NA,"US",35.1,-84.82,28520
37324,"STANDARD",0,"Decherd","","","TN","Franklin County","America/Chicago","931",NA,"US",35.2,-86.08,4430
37325,"STANDARD",0,"Delano","","","TN","Polk County","America/New_York","423",NA,"US",35.25,-84.62,1600
37326,"PO BOX",0,"Ducktown","","","TN","Polk County","America/New_York","423",NA,"US",35.03,-84.38,818
37327,"STANDARD",0,"Dunlap","","","TN","Sequatchie County","America/Chicago","423, 931",NA,"US",35.37,-85.38,10810
37328,"STANDARD",0,"Elora","","","TN","Lincoln County","America/Chicago","256, 931, 938",NA,"US",35.01,-86.35,1310
37329,"STANDARD",0,"Englewood","","","TN","McMinn County","America/New_York","423",NA,"US",35.42,-84.48,4880
37330,"STANDARD",0,"Estill Springs","Estill Spgs","","TN","Franklin County","America/Chicago","931",NA,"US",35.26,-86.13,6340
37331,"STANDARD",0,"Etowah","","","TN","McMinn County","America/New_York","423",NA,"US",35.33,-84.52,6590
37332,"STANDARD",0,"Evensville","","","TN","Rhea County","America/New_York","423",NA,"US",35.56,-84.95,2400
37333,"STANDARD",0,"Farner","","","TN","Polk County","America/New_York","423, 828",NA,"US",35.14,-84.32,440
37334,"STANDARD",0,"Fayetteville","","","TN","Lincoln County","America/Chicago","256, 931, 938",NA,"US",35.14,-86.56,20470
37335,"STANDARD",0,"Flintville","","","TN","Lincoln County","America/Chicago","256, 931, 938",NA,"US",35.04,-86.45,2420
37336,"STANDARD",0,"Georgetown","","","TN","Bradley County","America/New_York","423",NA,"US",35.3,-84.91,4140
37337,"STANDARD",0,"Grandview","","Grand View","TN","Rhea County","America/New_York","423, 865, 931",NA,"US",35.74,-84.83,1240
37338,"STANDARD",0,"Graysville","","","TN","Rhea County","America/Chicago","423",NA,"US",35.43,-85.22,2850
37339,"STANDARD",0,"Gruetli Laager","Gruetli Laagr","Gruetli, Laager","TN","Grundy County","America/Chicago","423, 931",NA,"US",35.38,-85.63,1560
37340,"STANDARD",0,"Guild","","","TN","Marion County","America/Chicago","423, 706, 762",NA,"US",35.03,-85.52,530
37341,"STANDARD",0,"Harrison","","","TN","Hamilton County","America/New_York","423",NA,"US",35.12,-85.14,12910
37342,"STANDARD",0,"Hillsboro","","","TN","Coffee County","America/Chicago","931",NA,"US",35.36,-85.95,3510
37343,"STANDARD",0,"Hixson","","","TN","Hamilton County","America/New_York","423",NA,"US",35.16,-85.2,41150
37345,"STANDARD",0,"Huntland","","","TN","Franklin County","America/Chicago","256, 931, 938",NA,"US",35.05,-86.26,2030
37347,"STANDARD",0,"Jasper","Kimball","","TN","Marion County","America/Chicago","423, 931",NA,"US",35.05,-85.62,7570
37348,"STANDARD",0,"Kelso","","","TN","Lincoln County","America/Chicago","931",NA,"US",35.12,-86.46,1050
37349,"PO BOX",0,"Manchester","","","TN","Coffee County","America/Chicago","931",NA,"US",35.46,-86.08,971
37350,"STANDARD",0,"Lookout Mountain","Lookout Mtn","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",34.99,-85.35,2160
37351,"STANDARD",0,"Lupton City","","","TN","Hamilton County","America/New_York","423",NA,"US",35.1,-85.26,310
37352,"STANDARD",0,"Lynchburg","","","TN","Moore County","America/Chicago","931",NA,"US",35.28,-86.35,2940
37353,"STANDARD",0,"Mc Donald","","","TN","Bradley County","America/New_York","423",NA,"US",35.08,-84.98,4640
37354,"STANDARD",0,"Madisonville","","","TN","Monroe County","America/New_York","423",NA,"US",35.52,-84.35,14730
37355,"STANDARD",0,"Manchester","","","TN","Coffee County","America/Chicago","615, 629, 931",NA,"US",35.46,-86.08,24500
37356,"STANDARD",0,"Monteagle","","","TN","Grundy County","America/Chicago","423, 931",NA,"US",35.24,-85.84,2310
37357,"STANDARD",0,"Morrison","","","TN","Warren County","America/Chicago","615, 629, 931",NA,"US",35.6,-85.91,5270
37359,"STANDARD",0,"Mulberry","","","TN","Lincoln County","America/Chicago","931",NA,"US",35.2,-86.4,600
37360,"STANDARD",0,"Normandy","","","TN","Coffee County","America/Chicago","931",NA,"US",35.45,-86.25,1590
37361,"STANDARD",0,"Ocoee","","","TN","Polk County","America/New_York","423",NA,"US",35.1,-84.7,1430
37362,"STANDARD",0,"Old Fort","","","TN","Polk County","America/New_York","423, 706, 762",NA,"US",35.04,-84.64,3020
37363,"STANDARD",0,"Ooltewah","College Dale","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.06,-85.09,38350
37364,"PO BOX",0,"Cleveland","","","TN","Bradley County","America/New_York","423",NA,"US",35.17,-84.86,508
37365,"STANDARD",0,"Palmer","","","TN","Grundy County","America/Chicago","423, 931",NA,"US",35.35,-85.56,1110
37366,"STANDARD",0,"Pelham","","","TN","Grundy County","America/Chicago","931",NA,"US",35.32,-85.78,880
37367,"STANDARD",0,"Pikeville","","","TN","Bledsoe County","America/Chicago","423, 931",NA,"US",35.6,-85.19,8140
37369,"STANDARD",0,"Reliance","","","TN","Polk County","America/New_York","423",NA,"US",35.21,-84.46,730
37370,"STANDARD",0,"Riceville","","","TN","McMinn County","America/New_York","423",NA,"US",35.38,-84.69,4320
37371,"PO BOX",0,"Athens","","","TN","Mcminn County","America/New_York","423",NA,"US",35.45,-84.6,1239
37373,"STANDARD",0,"Sale Creek","Bakewell","","TN","Hamilton County","America/New_York","423",NA,"US",35.38,-85.1,3010
37374,"STANDARD",0,"Sequatchie","","","TN","Marion County","America/Chicago","423, 931",NA,"US",35.19,-85.66,1480
37375,"STANDARD",0,"Sewanee","Saint Andrews","","TN","Franklin County","America/Chicago","423, 931",NA,"US",35.2,-85.92,2030
37376,"STANDARD",0,"Sherwood","","","TN","Franklin County","America/Chicago","256, 423, 931, 938",NA,"US",35.06,-85.95,310
37377,"STANDARD",0,"Signal Mountain","Signal Mtn, Walden","","TN","Hamilton County","America/New_York","423",NA,"US",35.13,-85.34,17000
37378,"PO BOX",0,"Smartt","","","TN","Warren County","America/Chicago","931",NA,"US",35.63,-85.84,208
37379,"STANDARD",0,"Soddy Daisy","Lakesite","","TN","Hamilton County","America/New_York","423",NA,"US",35.26,-85.17,25790
37380,"STANDARD",0,"South Pittsburg","New Hope, Orme, S Pittsburg","","TN","Marion County","America/Chicago","256, 423, 706, 762, 931, 938",NA,"US",35.01,-85.71,5480
37381,"STANDARD",0,"Spring City","Watts Bar Dam","","TN","Rhea County","America/New_York","423, 865, 931",NA,"US",35.68,-84.86,7770
37382,"PO BOX",0,"Summitville","","","TN","Coffee County","America/Chicago","931",NA,"US",35.54,-85.97,327
37383,"UNIQUE",0,"Sewanee","","University Of The South","TN","Franklin County","America/Chicago","931",NA,"US",35.21,-85.91,218
37384,"PO BOX",0,"Soddy Daisy","","","TN","Hamilton County","America/New_York","423",NA,"US",35.26,-85.17,1172
37385,"STANDARD",0,"Tellico Plains","Tellico Plns","","TN","Monroe County","America/New_York","423, 828",NA,"US",35.36,-84.29,6740
37387,"STANDARD",0,"Tracy City","","","TN","Grundy County","America/Chicago","423, 931",NA,"US",35.25,-85.75,3420
37388,"STANDARD",0,"Tullahoma","Dickel","","TN","Coffee County","America/Chicago","931",NA,"US",35.37,-86.2,23520
37389,"STANDARD",0,"Arnold AFB","Tullahoma","Arnold Air Force Base","TN","Coffee County","America/Chicago","931",NA,"US",35.37,-86.14,0
37391,"STANDARD",0,"Turtletown","","","TN","Polk County","America/New_York","423, 828",NA,"US",35.12,-84.35,1150
37394,"PO BOX",0,"Viola","","","TN","Warren County","America/Chicago","931",NA,"US",35.54,-85.86,229
37396,"STANDARD",0,"Whiteside","","","TN","Marion County","America/Chicago","423, 706, 762",NA,"US",35.01,-85.5,270
37397,"STANDARD",0,"Whitwell","Powells Crossroads, Powells Xroad","","TN","Marion County","America/Chicago","423, 931",NA,"US",35.2,-85.51,8100
37398,"STANDARD",0,"Winchester","","","TN","Franklin County","America/Chicago","931",NA,"US",35.18,-86.1,13770
37401,"PO BOX",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.06,-85.25,510
37402,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.04,-85.32,2670
37403,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.05,-85.29,1840
37404,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.03,-85.27,10470
37405,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/Chicago","423",NA,"US",35.13,-85.38,15210
37406,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.06,-85.25,10710
37407,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35,-85.29,7000
37408,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.03,-85.31,2760
37409,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.01,-85.34,2720
37410,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35,-85.31,3140
